2d	..----..
mixt	--..-..--
mm	----
mmm	------
mmmm	--------
mmt	-----
mnium	---.....---
mo	-----
mom	-------
momo	----------
monjo	------..------
moo	--------
moot	---------
mormo	-----.-.-----
mot	------
motmot	------------
mott	-------
motto	----------
mrsrm	--.-.....-.--
msem	--....--
msm	--...--
msw	--....--
mt	---
mtm	-----
mto	------
mtso	---...---
mulm	--..-.-..--
murat	--..-.-..--
mut	--..--
mw	--.--
na	-..-
naara	-..-.-.-..-
naga	-..---..-
naira	-..-...-..-
nammu	-..-----..-
nana	-..--..-
nanga	-..--.--..-
nanmu	-..--.--..-
nara	-..-.-..-
narica	-..-.-...-.-..-
nashira	-..-..........-..-
nassau	-..-.......-..-
natu	-..--..-
nau	-..-..-
nea	-...-
neala	-...-.-...-
nedra	-..-...-..-
neet	-...-
neillia	-.....-...-.....-
neisa	-........-
neist	-.......-
nela	-...-...-
nelda	-...-..-...-
nella	-...-...-...-
nemea	-..--..-
nena	-..-..-
neoga	-..-----..-
neona	-..----..-
nepit	-...--...-
nesbit	-.....-.....-
nessa	-.........-
nest	-.....-
net	-..-
neu	-....-
nev	-.....-
nfu	-...-...-
nha	-......-
nia	-....-
nida	-...-...-
nikola	-...-.----.-...-
nisa	-.......-
nissa	-..........-
nist	-......-
nit	-...-
nitza	-...---...-
niu	-.....-
niv	-......-
niyanda	-...-.--.--.-...-
noa	-.---.-
noma	-.-----.-
nook	-.-------.-
nota	-.----.-
nouma	-.---..---.-
npa	-..--..-
nq	-.--.-
nra	-..-..-
nsa	-.....-
nst	-....-
nsu	-......-
nt	-.-
nu	-...-
nuda	-...--...-
numda	-...----...-
nunu	-...--...-
nv	-....-
o	---
o2	---..---
oam	---.---
ocko	----.-.-.----
oeno	---.-.---
oeo	---.---
ohio	---......---
oho	---....---
oketo	----.-.----
om	-----
omm	-------
omoo	-----------
onto	----.----
onym	----.-.----
oo	------
oooo	------------
oot	-------
oronoco	---.-.----.----.-.---
orsino	---.-......-.---
os2	---.....---
oso	---...---
osseo	---.......---
ot	----
otm	------
oto	-------
ott	-----
ottetto	-----.-----
otto	--------
outdo	---..---..---
outswum	---..--....--..---
ouzo	---..---..---
owego	---.--.--.---
owt	---.---
